topic_name,question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty_level,explanation
Machine Learning,What involves splitting data into K folds?,Cross-validation,Normalization,Regularization,Clustering,A,4,K-Fold Cross-Validation splits data into k subsets to evaluate model performance.
Machine Learning,Unsupervised learning is used for?,Classification,Clustering,Regression,Forecasting,B,3,Clustering (like K-Means) is a primary application of unsupervised learning.
Machine Learning,What is a confusion matrix?,A table to describe classification performance,A matrix of random numbers,A math puzzle,A network layer,A,3,A confusion matrix summarizes valid and incorrect predictions for a classification problem.
Data Science,What involves cleaning and organizing raw data?,Data Mining,Data Wrangling,Data Visualization,Data Hiding,B,3,Data Wrangling is the process of cleaning and unifying messy and complex data sets.
Data Science,Which plot works best for distribution of a single variable?,Scatter plot,Histogram,Pie chart,Line chart,B,2,Histograms are used to visualize the distribution of numerical data.
Data Science,What does SQL stand for?,Straight Query Language,Structured Query Language,Simple Query List,Standard Question Log,B,2,"SQL stands for Structured Query Language, used for managing relational databases."
Data Science,Which is a measure of central tendency?,Standard Deviation,Variance,Mean,Range,C,2,"Mean, Median, and Mode are measures of central tendency."
Data Science,What is Big Data?,Data larger than 1GB,Data that cannot be processed by traditional methods,Any database,Cloud storage,B,3,Big Data refers to datasets so large or complex that traditional data processing software is inadequate.
Data Science,What is a null value?,Zero,Missing or undefined value,Negative one,Space character,B,1,A null value indicates a lack of a value or missing data.
Data Science,Which join returns all records from both tables?,Inner Join,Left Join,Right Join,Full Outer Join,D,4,Full Outer Join returns all records when there is a match in either left or right table.
Data Science,What is A/B testing?,Testing two versions of a webpage,Testing blood types,Testing alphabet knowledge,Testing hardware,A,3,A/B testing compares two versions of a variable to determine which performs better.
Data Science,Correlation does not imply...,Association,Relationship,Causation,Connection,C,2,A famous phrase: 'Correlation does not imply causation'.
Data Science,What is an outlier?,An average values,A value far from others,A missing value,A text string,B,2,An outlier is a data point that differs significantly from other observations.
